"filename", "language", "JavaScript", "JSON", "Markdown", "Properties", "Ignore", "comment", "blank", "total"
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\.env", "Properties", 0, 0, 0, 13, 0, 2, 4, 19
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\.eslintrc.json", "JSON", 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\.prettierignore", "Ignore", 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\README.md", "Markdown", 0, 0, 20, 0, 0, 0, 15, 35
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\SEO.js", "JavaScript", 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\c\layout\Header.js", "JavaScript", 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\c\layout\Header\Base.js", "JavaScript", 75, 0, 0, 0, 0, 0, 11, 86
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\c\layout\Header\Full.js", "JavaScript", 61, 0, 0, 0, 0, 0, 8, 69
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\c\layout\Header\modal\Drawer.js", "JavaScript", 52, 0, 0, 0, 0, 0, 7, 59
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\c\main\layout\Layout.js", "JavaScript", 37, 0, 0, 0, 0, 0, 3, 40
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\c\main\sections\Intro.js", "JavaScript", 45, 0, 0, 0, 0, 0, 3, 48
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\chat\sections\MessageControl.js", "JavaScript", 29, 0, 0, 0, 0, 0, 3, 32
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\chat\sections\MessageControl\BaseView.js", "JavaScript", 101, 0, 0, 0, 0, 0, 10, 111
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\chat\sections\MessageControl\FullView.js", "JavaScript", 110, 0, 0, 0, 0, 0, 10, 120
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\chat\sections\MessageControl\Modal\CreateMessage.js", "JavaScript", 229, 0, 0, 0, 0, 0, 15, 244
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\chat\sections\MessageControl\Modal\SearchMessage.js", "JavaScript", 104, 0, 0, 0, 0, 0, 10, 114
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\chat\sections\MessageControl\components\Messages.js", "JavaScript", 68, 0, 0, 0, 0, 0, 5, 73
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\chat\sections\MessageView.js", "JavaScript", 30, 0, 0, 0, 0, 0, 3, 33
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\chat\sections\MessageView\ChatBaseView.js", "JavaScript", 124, 0, 0, 0, 0, 0, 8, 132
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\chat\sections\MessageView\ChatFullView.js", "JavaScript", 131, 0, 0, 0, 0, 0, 8, 139
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\chat\sections\MessageView\Layout.js", "JavaScript", 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\chat\sections\MessageView\Layout\BottomBar.js", "JavaScript", 34, 0, 0, 0, 0, 0, 4, 38
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\chat\sections\MessageView\Layout\TopBar.js", "JavaScript", 113, 0, 0, 0, 0, 0, 4, 117
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\constants.js", "JavaScript", 10, 0, 0, 0, 0, 9, 3, 22
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\creatorstudio\cards\HeadingAnalyticsItem.js", "JavaScript", 40, 0, 0, 0, 0, 0, 5, 45
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\creatorstudio\cards\HeadingAnalyticsItem\Fixed.js", "JavaScript", 42, 0, 0, 0, 0, 0, 3, 45
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\creatorstudio\cards\HeadingAnalyticsItem\Responsive.js", "JavaScript", 43, 0, 0, 0, 0, 0, 3, 46
